Month,ID,Name,Age,AnnualIncome,MonthlyInhandSalary,NumBankAccounts,NumCreditCard,InterestRate,NumofLoan,TypeofLoan,Delayfromduedate,NumofDelayedPayment,ChangedCreditLimit,NumCreditInquiries,CreditMix,OutstandingDebt,CreditUtilizationRatio,CreditHistoryAge,PaymentofMinAmount,TotalEMIpermonth,Amountinvestedmonthly,PaymentBehaviour,MonthlyBalance,CreditScore,,,,,,,,,,,,
August,282,Nate Raymondd,31,62050.89,5386.9075,8,7,22,7,"Personal Loan, Credit-Builder Loan, Student Loan, Student Loan, Credit-Builder Loan, Student Loan, and Home Equity Loan",18,23,9.95,13,Bad,4293.32,25.80109764,6 Years and 0 Months,NM,286.959221,119.0840222,High_spent_Medium_value_payments,382.6475068,Poor,,,,,,,,,,,,
January,283,ill Rigbys,36,18744.4,1410.033333,8,7,29,9,"Credit-Builder Loan, Not Specified, Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, Auto Loan, Student Loan, and Mortgage Loan",17,24,20.17,7,,4432.68,26.793362,5 Years and 7 Months,Yes,139.9403852,145.2447007,LowspentSmallvaluepayments,145.8182474,Standard,,,,,,,,,,,,
February,283,,36,18744.4,1410.033333,8,7,29,9,"Credit-Builder Loan, Not Specified, Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, Auto Loan, Student Loan, and Mortgage Loan",17,23,20.17,7,Bad,4432.68,36.17556889,5 Years and 8 Months,Yes,139.9403852,125.9641228,LowspentMediumvaluepayments,155.0988253,Standard,,,,,,,,,,,,
March,283,ill Rigbys,36,18744.4,1410.033333,8,7,29,9,"Credit-Builder Loan, Not Specified, Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, Auto Loan, Student Loan, and Mortgage Loan",17,22,20.17,7,Bad,4432.68,37.20294061,NA,Yes,139.9403852,83.71065495,LowspentMediumvaluepayments,197.3522932,Standard,,,,,,,,,,,,
April,283,ill Rigbys,36,18744.4,1410.033333,8,7,29,9,"Credit-Builder Loan, Not Specified, Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, Auto Loan, Student Loan, and Mortgage Loan",17,24,20.17,12,Bad,4432.68,27.58671365,5 Years and 10 Months,Yes,139.9403852,62.3716437,!@9#%8,228.6913044,Standard,,,,,,,,,,,,
May,283,ill Rigbys,36,18744.4,1410.033333,8,7,29,9,"Credit-Builder Loan, Not Specified, Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, Auto Loan, Student Loan, and Mortgage Loan",17,26,17.17,12,,4432.68,27.21727487,5 Years and 11 Months,Yes,139.9403852,37.87691806,LowspentMediumvaluepayments,243.1860301,Standard,,,,,,,,,,,,
June,283,ill Rigbys,36,18744.4,1410.033333,8,7,29,9,"Credit-Builder Loan, Not Specified, Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, Auto Loan, Student Loan, and Mortgage Loan",13,23,20.17,12,Bad,4432.68,33.76278212,6 Years and 0 Months,Yes,139.9403852,179.8566713,LowspentSmallvaluepayments,111.2062768,Standard,,,,,,,,,,,,
July,283,ill Rigbys,36,18744.4,1410.033333,8,7,29,9,"Credit-Builder Loan, Not Specified, Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, Auto Loan, Student Loan, and Mortgage Loan",12,22,20.17,12,Bad,4432.68,23.75855343,6 Years and 1 Months,Yes,139.9403852,176.5941368,Low_spent_Small_value_payments,114.4688114,Standard,,,,,,,,,,,,
August,283,ill Rigbys,37,18744.4_,1410.033333,8,7,29,9,"Credit-Builder Loan, Not Specified, Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, Student Loan, Auto Loan, Student Loan, and Mortgage Loan",21,23,20.17,12,Bad,4432.68,29.57143168,6 Years and 2 Months,Yes,139.9403852,65.69335413,Low_spent_Small_value_payments,225.369594,Standard,,,,,,,,,,,,
January,284,Huww,38,12070.845,1088.90375,8,5,8,4,"Student Loan, Home Equity Loan, Payday Loan, and Home Equity Loan",17,15,2.96,1,Standard,759.86,31.39543108,28 Years and 3 Months,Yes,31.3499696,39.99861057,LowspentMediumvaluepayments,317.5417948,Standard,,,,,,,,,,,,
February,284,Huww,38,12070.845,1088.90375,8,5,5627,4,"Student Loan, Home Equity Loan, Payday Loan, and Home Equity Loan",18,,2.96,1,Standard,759.86,28.59584786,28 Years and 4 Months,Yes,31.3499696,49.22807948,LowspentMediumvaluepayments,308.3123259,Standard,,,,,,,,,,,,
March,284,Huww,38,12070.845,1088.90375,8,5,8,4,"Student Loan, Home Equity Loan, Payday Loan, and Home Equity Loan",14,12,2.96,1,Standard,759.86,28.83078169,28 Years and 5 Months,Yes,31.3499696,75.90196409,LowspentSmallvaluepayments,291.6384413,Standard,,,,,,,,,,,,
April,284,Huww,38,12070.845,1088.90375,8,5,8,4,"Student Loan, Home Equity Loan, Payday Loan, and Home Equity Loan",18,12,9.96,1,,759.86,26.03213559,28 Years and 6 Months,Yes,31.3499696,74.52135838,!@9#%8,273.019047,Standard,,,,,,,,,,,,
May,284,Huww,38,12070.845,1088.90375,8,5,8,4,"Student Loan, Home Equity Loan, Payday Loan, and Home Equity Loan",18,12,2.96,1,Standard,759.86,22.58810616,28 Years and 7 Months,Yes,31.3499696,114.4028087,LowspentSmallvaluepayments,253.1375967,Standard,,,,,,,,,,,,
June,284,Huww,38,12070.845,1088.90375,8,5,8,-100,"Student Loan, Home Equity Loan, Payday Loan, and Home Equity Loan",16,12,2.96,4,,759.86,31.52864922,28 Years and 8 Months,NM,31.3499696,103.5663154,!@9#%8,253.97409,Standard,,,,,,,,,,,,
July,284,Huww,38,12070.845,1088.90375,8,5,8,4,"Student Loan, Home Equity Loan, Payday Loan, and Home Equity Loan",19,12,2.96,4,Standard,759.86,25.25181941,28 Years and 9 Months,NM,31.3499696,64.57579118,Low_spent_Large_value_payments,282.9646142,Standard,,,,,,,,,,,,
August,284,Huww,38,12070.845,1088.90375,8,5,8,4,"Student Loan, Home Equity Loan, Payday Loan, and Home Equity Loan",18,12,2.96,4,_,759.86,25.40908415,28 Years and 10 Months,Yes,31.3499696,76.93505249,Low_spent_Medium_value_payments,280.6053529,Standard,,,,,,,,,,,,
January,285,Huntt,21,38539.57,3438.630833,4,2,3,1,Mortgage Loan,4,1,8.42,0,Good,526.62,27.34780113,29 Years and 7 Months,No,22.68327917,277.018349,LowspentMediumvaluepayments,324.1614552,Good,,,,,,,,,,,,
February,285,Huntt,21,38539.57,3438.630833,4,2,3,472,Mortgage Loan,4,1,8.42,0,Good,526.62,30.03999795,29 Years and 8 Months,No,22.68327917,285.2820709,LowspentSmallvaluepayments,325.8977333,Good,,,,,,,,,,,,
March,285,Huntt,21,38539.57,3438.630833,4,2,3,-100,Mortgage Loan,8,-2,,0,Good,526.62,39.48930933,29 Years and 9 Months,NM,22.68327917,243.2758564,!@9#%8,367.9039477,Good,,,,,,,,,,,,
April,285,Huntt,21,38539.57,3438.630833,4,2,3,1,Mortgage Loan,1,4,8.42,0,,526.62,40.12095141,29 Years and 10 Months,No,22.68327917,81.09418711,HighspentMediumvaluepayments,490.0856171,Good,,,,,,,,,,,,
May,285,Huntt,21,38539.57,3438.630833,4,2,3,1,Mortgage Loan,8,1,8.42,0,Good,526.62,35.45774286,29 Years and 11 Months,NM,22.68327917,303.0276653,LowspentMediumvaluepayments,298.1521389,Good,,,,,,,,,,,,
June,285,,22,38539.57,3438.630833,4,2,3,1,Mortgage Loan,4,-2,8.42,0,,526.62,37.79778327,30 Years and 0 Months,No,22.68327917,381.4716401,LowspentSmallvaluepayments,229.7081641,Good,,,,,,,,,,,,
July,285,Huntt,22,38539.57,3438.630833,4,2,3,1,Mortgage Loan,4,1,8.42,0,Good,526.62,23.81299083,30 Years and 1 Months,No,22.68327917,119.6698477,High_spent_Medium_value_payments,451.5099565,Good,,,,,,,,,,,,
August,285,Huntt,22,38539.57,3438.630833,4,2,3,1,Mortgage Loan,8,2,8.42,0,Good,526.62,34.70031951,30 Years and 2 Months,NM,22.68327917,119.6456108,High_spent_Medium_value_payments,451.5341933,Good,,,,,,,,,,,,
January,286,Ernest Schuyderl,47,48411.24,4306.27,8,3,3,4,"Mortgage Loan, Home Equity Loan, Home Equity Loan, and Mortgage Loan",17,10,4.04,1,Good,821.27,31.97170242,18 Years and 3 Months,No,82.22147115,167.273391,HighspentMediumvaluepayments,431.1321379,Good,,,,,,,,,,,,
February,286,Ernest Schuyderl,47,48411.24,4306.27,8,3,3,4,"Mortgage Loan, Home Equity Loan, Home Equity Loan, and Mortgage Loan",17,12,3.04,1,Good,821.27,38.88271127,18 Years and 4 Months,No,82.22147115,57.00582377,HighspentLargevaluepayments,531.3997051,Good,,,,,,,,,,,,
March,286,Ernest Schuyderl,47,48411.24,4306.27,8,3,3,4,"Mortgage Loan, Home Equity Loan, Home Equity Loan, and Mortgage Loan",16,8,1.04,1,Good,821.27,34.66055202,18 Years and 5 Months,No,82.22147115,56.99305698,HighspentMediumvaluepayments,541.4124719,Good,,,,,,,,,,,,
April,286,Ernest Schuyderl,47,48411.24,4306.27,8,3,3,4,"Mortgage Loan, Home Equity Loan, Home Equity Loan, and Mortgage Loan",17,14,4.04,1,Good,821.27,32.37493076,18 Years and 6 Months,No,82.22147115,152.9237598,HighspentMediumvaluepayments,445.4817691,Standard,,,,,,,,,,,,
May,286,Ernest Schuyderl,47,48411.24,4306.27,8,3,3,4,"Mortgage Loan, Home Equity Loan, Home Equity Loan, and Mortgage Loan",17,11,4.04,1,Good,821.27,39.82697124,18 Years and 7 Months,No,82.22147115,179.7661872,HighspentMediumvaluepayments,418.6393417,Standard,,,,,,,,,,,,
June,286,Ernest Schuyderl,47,48411.24,4306.27,8,3,3,4,"Mortgage Loan, Home Equity Loan, Home Equity Loan, and Mortgage Loan",22,11,4.04,1,Good,821.27,31.8308255,18 Years and 8 Months,No,82.22147115,,LowspentSmallvaluepayments,148.8596481,Good,,,,,,,,,,,,
July,286,Ernest Schuyderl,47,48411.24,,8,3,3,4,"Mortgage Loan, Home Equity Loan, Home Equity Loan, and Mortgage Loan",17,,4.04,1,Good,821.27,39.20978085,18 Years and 9 Months,No,82.22147115,40.13372244,High_spent_Large_value_payments,548.2718064,Good,,,,,,,,,,,,
August,286,Ernest Schuyderl,47,48411.24,4306.27,8,3,3,4,"Mortgage Loan, Home Equity Loan, Home Equity Loan, and Mortgage Loan",17,11,4.04,3,Good,821.27,31.09377623,18 Years and 10 Months,No,82.22147115,326.5091908,Low_spent_Medium_value_payments,301.8963381,Good,,,,,,,,,,,,
January,287,James Pomfretu,23,47275.96,4238.663333,6,3,4,4,"Payday Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",16,18,9.43,2,Good,302.1,32.40579414,22 Years and 2 Months,No,121.9288772,75.56461377,HighspentMediumvaluepayments,476.3728424,Good,,,,,,,,,,,,
February,287,James Pomfretu,23,47275.96,4238.663333,6,3,4,1017,"Payday Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",18,18,4.43,2,Good,302.1,34.88354091,22 Years and 3 Months,No,121.9288772,469.732373,LowspentSmallvaluepayments,122.2050832,Good,,,,,,,,,,,,
March,287,James Pomfretu,23,47275.96,4238.663333,6,3,4,4,"Payday Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",18,18,9.43,2,Good,302.1,30.4054129,22 Years and 4 Months,No,121.9288772,74.36499752,HighspentSmallvaluepayments,487.5724586,Standard,,,,,,,,,,,,
April,287,James Pomfretu,23,47275.96,4238.663333,6,3,4,4,"Payday Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",18,18,9.43,2,,302.1,30.20330333,22 Years and 5 Months,NM,121.9288772,52.30567881,HighspentLargevaluepayments,489.6317773,Good,,,,,,,,,,,,
May,287,James Pomfretu,23,47275.96,4238.663333,6,3,4,4,"Payday Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",18,18,9.43,2,Good,302.1,39.83414802,22 Years and 6 Months,No,121.9288772,10000,LowspentSmallvaluepayments,292.9082294,Good,,,,,,,,,,,,
June,287,James Pomfretu,23,47275.96,4238.663333,6,3,4,4,"Payday Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",18,18,15.43,2,,302.1,24.42710438,22 Years and 7 Months,No,121.9288772,96.07291031,HighspentLargevaluepayments,445.8645458,Good,,,,,,,,,,,,
July,287,James Pomfretu,24,47275.96,4238.663333,6,3,4,4,"Payday Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",18,20,9.43,3,Good,302.1,36.95763163,22 Years and 8 Months,No,121.9288772,87.27612235,!@9#%8,464.6613338,Good,,,,,,,,,,,,
August,287,,24_,47275.96,4238.663333,6,3,4,945,"Payday Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",18,18,9.43,3,Good,302.1,23.33122534,22 Years and 9 Months,No,121.9288772,,High_spent_Large_value_payments,471.3693537,Good,,,,,,,,,,,,
January,288,Levinec,42,30232.28,2342.356667,5,3,4,4,"Mortgage Loan, Mortgage Loan, Mortgage Loan, and Credit-Builder Loan",0,1867,4.94,2,Good,1483.59,25.7442157,31 Years and 5 Months,NM,98.46945408,,HighspentMediumvaluepayments,308.192603,Good,,,,,,,,,,,,
February,288,Levinec,42,30232.28,2342.356667,5,3,4,4,"Mortgage Loan, Mortgage Loan, Mortgage Loan, and Credit-Builder Loan",1,-1,4.94,2,,1483.59,24.71093038,31 Years and 6 Months,No,98.46945408,80.5435778,HighspentMediumvaluepayments,305.2226348,Good,,,,,,,,,,,,
March,288,Levinec,42,30232.28,2342.356667,5,3,4,4,"Mortgage Loan, Mortgage Loan, Mortgage Loan, and Credit-Builder Loan",0,1,4.94,2,Good,1483.59,24.34439331,31 Years and 7 Months,NM,98.46945408,32.84142071,HighspentLargevaluepayments,342.9247919,Good,,,,,,,,,,,,
April,288,Levinec,42,30232.28,2342.356667,5,3,215,-100,"Mortgage Loan, Mortgage Loan, Mortgage Loan, and Credit-Builder Loan",0,4,4.94,2,Good,1483.59,27.47298422,31 Years and 8 Months,No,8341,134.767797,LowspentSmallvaluepayments,290.9984156,Standard,,,,,,,,,,,,
May,288,Levinec,42,30232.28,2342.356667,5,3,4,4,"Mortgage Loan, Mortgage Loan, Mortgage Loan, and Credit-Builder Loan",0,,3.94,2,Good,1483.59,35.91089356,NA,NM,98.46945408,119.3413868,LowspentLargevaluepayments,286.4248258,Standard,,,,,,,,,,,,
June,288,Levinec,42,30232.28,2342.356667,5,3,4,4,"Mortgage Loan, Mortgage Loan, Mortgage Loan, and Credit-Builder Loan",-5,1,4.94,2,,1483.59,28.78391817,31 Years and 10 Months,No,98.46945408,203.7837495,LowspentSmallvaluepayments,221.9824631,Standard,,,,,,,,,,,,
July,288,Levinec,42,30232.28,,5,3,4,4,"Mortgage Loan, Mortgage Loan, Mortgage Loan, and Credit-Builder Loan",0,1,3.94,2,_,1483.59,35.18439424,31 Years and 11 Months,NM,98.46945408,139.1206062,Low_spent_Medium_value_payments,276.6456064,Standard,,,,,,,,,,,,
August,288,Levinec,42,22409880,,5,3,4,4,"Mortgage Loan, Mortgage Loan, Mortgage Loan, and Credit-Builder Loan",0,1,6.94,2,Good,1483.59,34.95902065,32 Years and 0 Months,No,98.46945408,287.6464317,Low_spent_Small_value_payments,138.1197809,Standard,,,,,,,,,,,,
January,289,Emilym,27,33314.96,2955.246667,10,5,18,7,"Mortgage Loan, Student Loan, Auto Loan, Student Loan, Not Specified, Mortgage Loan, and Student Loan",33,26,16.82,6,Bad,3271.84,34.20617681,0 Years and 1 Months,Yes,98.19308987,184.6666856,LowspentSmallvaluepayments,302.6648912,Poor,,,,,,,,,,,,
February,289,Emilym,27,33314.96,2955.246667,10,5,438,7,"Mortgage Loan, Student Loan, Auto Loan, Student Loan, Not Specified, Mortgage Loan, and Student Loan",33,24,22.82,6,Bad,3271.84,31.33007825,0 Years and 2 Months,NM,98.19308987,91.24228771,!@9#%8,366.0892891,Poor,,,,,,,,,,,,
March,289,Emilym,27,33314.96,2955.246667,10,5,18,7,"Mortgage Loan, Student Loan, Auto Loan, Student Loan, Not Specified, Mortgage Loan, and Student Loan",37,24,16.82,6,Bad,3271.84,25.87367382,0 Years and 3 Months,Yes,98.19308987,10000,LowspentMediumvaluepayments,212.4776154,Poor,,,,,,,,,,,,
April,289,Emilym,27,33314.96,2955.246667,10,5,18,7,"Mortgage Loan, Student Loan, Auto Loan, Student Loan, Not Specified, Mortgage Loan, and Student Loan",33,24,16.82,6,,3271.84,36.11551748,0 Years and 4 Months,Yes,98.19308987,258.9981629,LowspentSmallvaluepayments,228.3334139,Poor,,,,,,,,,,,,
May,289,Emilym,27,33314.96,2955.246667,10,5,18,7,"Mortgage Loan, Student Loan, Auto Loan, Student Loan, Not Specified, Mortgage Loan, and Student Loan",35,25,16.82,6,Bad,3271.84,37.33982135,0 Years and 5 Months,Yes,98.19308987,390.3183914,LowspentSmallvaluepayments,97.01318539,Poor,,,,,,,,,,,,
June,289,Emilym,27,33314.96,2955.246667,10,5,18,7,"Mortgage Loan, Student Loan, Auto Loan, Student Loan, Not Specified, Mortgage Loan, and Student Loan",33,27,16.82,6,Bad,3271.84,39.18038583,0 Years and 6 Months,Yes,98.19308987,69.07804175,HighspentLargevaluepayments,368.253535,Poor,,,,,,,,,,,,
July,289,Emilym,28,33314.96,2955.246667,10,5,18,7,"Mortgage Loan, Student Loan, Auto Loan, Student Loan, Not Specified, Mortgage Loan, and Student Loan",38,24,16.82,6,_,3271.84_,28.98608464,0 Years and 7 Months,Yes,98.19308987,,High_spent_Medium_value_payments,399.3503434,Poor,,,,,,,,,,,,
August,289,Emilym,28,33314.96,,10,5,18,7,"Mortgage Loan, Student Loan, Auto Loan, Student Loan, Not Specified, Mortgage Loan, and Student Loan",32,24,16.82,6,_,3271.84,22.78560579,0 Years and 8 Months,Yes,98.19308987,102.9909421,High_spent_Small_value_payments,354.3406347,Poor,,,,,,,,,,,,
January,290,Reiji Muraio,44,7599.035,898.2529167,7,9,27,6,"Personal Loan, Payday Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",35,19,-3.52,7,Bad,2198.82,24.42928971,17 Years and 4 Months,Yes,29.39552203,98.81828233,LowspentSmallvaluepayments,251.6114873,Poor,,,,,,,,,,,,
February,290,Reiji Muraio,44,7599.035,898.2529167,1613,9,27,6,"Personal Loan, Payday Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",35,20,9.48,7,,2198.82,33.44497849,NA,NM,29.39552203,35.8438101,LowspentMediumvaluepayments,304.5859595,Poor,,,,,,,,,,,,
March,290,Reiji Muraio,44,7599.035,898.2529167,7,9,27,6,"Personal Loan, Payday Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",35,23,3.48,7,Bad,2198.82,35.91863008,17 Years and 6 Months,Yes,29.39552203,25.62301659,LowspentMediumvaluepayments,314.806753,Poor,,,,,,,,,,,,
April,290,Reiji Muraio,44,7599.035,898.2529167,7,9,27,6,"Personal Loan, Payday Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",33,20,3.48,7,Bad,2198.82,31.54533316,17 Years and 7 Months,Yes,29.39552203,109.9266911,LowspentSmallvaluepayments,240.5030786,Poor,,,,,,,,,,,,
May,290,Reiji Muraio,44,7599.035,898.2529167,7,9,27,6,"Personal Loan, Payday Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",35,20,3.48,7,,2198.82,24.92937452,17 Years and 8 Months,Yes,29.39552203,120.018727,LowspentSmallvaluepayments,230.4110426,Standard,,,,,,,,,,,,
June,290,Reiji Muraio,44,7599.035,898.2529167,7,9,27,6,"Personal Loan, Payday Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",35,21,3.48,7,Bad,2198.82,34.06409856,17 Years and 9 Months,Yes,29.39552203,16.2907539,HighspentMediumvaluepayments,294.1390157,Poor,,,,,,,,,,,,
July,290,Reiji Muraio,44,7599.035,898.2529167,7,9,27,6,"Personal Loan, Payday Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",35,20,3.48,7,Bad,2198.82,27.96688648,17 Years and 10 Months,Yes,29.39552203,23.43686423,High_spent_Small_value_payments,296.9929054,Poor,,,,,,,,,,,,
August,290,Reiji Muraio,45,7599.035,898.2529167,7,9,27,146,"Personal Loan, Payday Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",35,20,3.48,7,Bad,2198.82,36.25729019,17 Years and 11 Months,Yes,29.39552203,67.99418121,Low_spent_Large_value_payments,262.4355884,Poor,,,,,,,,,,,,
January,291,Blamontg,18,97640.4,898.2529167,5,7,6,4,"Auto Loan, Auto Loan, Student Loan, and Credit-Builder Loan",19,14,9.86,4,,80.5,37.11345666,10 Years and 10 Months,Yes,259.8059369,727.9822228,LowspentMediumvaluepayments,95.68184031,Standard,,,,,,,,,,,,
February,291,Blamontg,18,97640.4,8034.7,5,7,6,4,"Auto Loan, Auto Loan, Student Loan, and Credit-Builder Loan",19,,9.86,4,Standard,80.5,39.28646441,10 Years and 11 Months,NM,259.8059369,173.4952741,HighspentLargevaluepayments,610.168789,Standard,,,,,,,,,,,,
March,291,Blamontg,19,97640.4,8034.7,5,7,6,4,"Auto Loan, Auto Loan, Student Loan, and Credit-Builder Loan",19,12,,4,Standard,80.5,40.50296066,11 Years and 0 Months,Yes,259.8059369,171.9704541,HighspentLargevaluepayments,611.6936091,Standard,,,,,,,,,,,,
April,291,,19,97640.4,8034.7,5,7,6,4,"Auto Loan, Auto Loan, Student Loan, and Credit-Builder Loan",19,17,9.86,,Standard,80.5,28.76961204,11 Years and 1 Months,Yes,259.8059369,141.8642813,HighspentMediumvaluepayments,651.7997819,Poor,,,,,,,,,,,,
May,291,Blamontg,19,97640.4,8034.7,5,7,6,4,"Auto Loan, Auto Loan, Student Loan, and Credit-Builder Loan",19,11,15.86,4,Standard,80.5,32.79002094,11 Years and 2 Months,NM,259.8059369,223.6558851,HighspentMediumvaluepayments,570.008178,Poor,,,,,,,,,,,,
June,291,Blamontg,19,97640.4,8034.7,5,7,6,4,"Auto Loan, Auto Loan, Student Loan, and Credit-Builder Loan",19,14,16.86,4,Standard,80.5,30.97145649,11 Years and 3 Months,NM,259.8059369,99.73933287,HighspentMediumvaluepayments,693.9247303,Poor,,,,,,,,,,,,
July,291,Blamontg,19,97640.4,,5,7,6,4,"Auto Loan, Auto Loan, Student Loan, and Credit-Builder Loan",19,12,9.86,4,Standard,80.5,31.39030536,11 Years and 4 Months,Yes,259.8059369,183.9353205,High_spent_Large_value_payments,599.7287426,Poor,,,,,,,,,,,,
August,291,,19,97640.4,8034.7,5,7,6,4,"Auto Loan, Auto Loan, Student Loan, and Credit-Builder Loan",19,14,9.86,4,Standard,80.5,25.91202308,11 Years and 5 Months,Yes,259.8059369,356.4875127,Low_spent_Medium_value_payments,467.1765504,Standard,,,,,,,,,,,,
January,292,Jonathanq,33,75881.16,6535.43,10,6,16,6,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Payday Loan, Payday Loan, and Student Loan",29,19,9.94,11,Bad,2321.23,32.08164606,10 Years and 2 Months,Yes,232.3847176,94.59513166,HighspentMediumvaluepayments,576.5631508,Poor,,,,,,,,,,,,
February,292,Jonathanq,33,75881.16,6535.43,10,6,16,6,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Payday Loan, Payday Loan, and Student Loan",34,19,9.94,11,Bad,2321.23,30.73000587,10 Years and 3 Months,Yes,232.3847176,333.4966539,LowspentMediumvaluepayments,367.6616286,Poor,,,,,,,,,,,,
March,292,Jonathanq,33,75881.16,6535.43,10,6,16,6,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Payday Loan, Payday Loan, and Student Loan",32,22,9.94,11,Bad,2321.23,34.23130426,10 Years and 4 Months,Yes,232.3847176,128.1096506,HighspentLargevaluepayments,533.0486318,Poor,,,,,,,,,,,,
April,292,Jonathanq,33,75881.16,6535.43,741,6,16,6,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Payday Loan, Payday Loan, and Student Loan",29,,9.94,11,,2321.23,27.30701089,10 Years and 5 Months,Yes,232.3847176,451.3351651,LowspentSmallvaluepayments,259.8231174,Poor,,,,,,,,,,,,
May,292,Jonathanq,34,75881.16,6535.43,10,6,16,6,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Payday Loan, Payday Loan, and Student Loan",32,20,9.94,11,Bad,2321.23,25.84011766,10 Years and 6 Months,Yes,232.3847176,474.0644699,!@9#%8,227.0938125,Poor,,,,,,,,,,,,
June,292,Jonathanq,34,75881.16,6535.43,121,6,16,6,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Payday Loan, Payday Loan, and Student Loan",32,18,9.94,11,Bad,2321.23,37.03194976,10 Years and 7 Months,Yes,232.3847176,512.7324609,LowspentSmallvaluepayments,198.4258216,Poor,,,,,,,,,,,,
July,292,Jonathanq,34,75881.16,6535.43,10,6,16,6,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Payday Loan, Payday Loan, and Student Loan",32,22,9.94,11,Bad,2321.23,28.01101444,10 Years and 8 Months,Yes,232.3847176,262.0164446,Low_spent_Medium_value_payments,439.1418379,Poor,,,,,,,,,,,,
August,292,Jonathanq,34,75881.16,6535.43,10,6,2565,6,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Payday Loan, Payday Loan, and Student Loan",32,21,9.94,11,_,2321.23,23.43467187,10 Years and 9 Months,NM,232.3847176,509.8968823,Low_spent_Medium_value_payments,191.2614002,Poor,,,,,,,,,,,,
January,293,,28,36490.98,2828.915,4,5,8,4,"Payday Loan, Debt Consolidation Loan, Not Specified, and Personal Loan",21,18,,7,Standard,581.05,28.92477168,11 Years and 9 Months,NM,92.35158352,54.60230189,HighspentLargevaluepayments,375.9376146,Standard,,,,,,,,,,,,
February,293,Mark Shades,28,36490.98,2828.915,4,5,8,4,"Payday Loan, Debt Consolidation Loan, Not Specified, and Personal Loan",21,,9.75,7,Standard,581.05,24.63901022,11 Years and 10 Months,Yes,92.35158352,58.63332278,HighspentMediumvaluepayments,381.9065937,Standard,,,,,,,,,,,,
March,293,Mark Shades,28,36490.98,2828.915,4,5,8,4,"Payday Loan, Debt Consolidation Loan, Not Specified, and Personal Loan",26,,9.75,,Standard,581.05,30.87646093,11 Years and 11 Months,Yes,92.35158352,340.8374323,LowspentSmallvaluepayments,139.7024842,Standard,,,,,,,,,,,,
April,293,Mark Shades,28,36490.98,2828.915,4,5,8,-100,"Payday Loan, Debt Consolidation Loan, Not Specified, and Personal Loan",21,19,7.75,7,,581.05,27.72370675,12 Years and 0 Months,Yes,92.35158352,44.45868647,HighspentMediumvaluepayments,396.08123,Standard,,,,,,,,,,,,
May,293,Mark Shades,28,36490.98,2828.915,4,5,8,4,"Payday Loan, Debt Consolidation Loan, Not Specified, and Personal Loan",21,19,2.75,7,Standard,581.05,25.17990331,12 Years and 1 Months,Yes,92.35158352,50.74827411,HighspentMediumvaluepayments,389.7916424,Standard,,,,,,,,,,,,
June,293,Mark Shades,28,36490.98,2828.915,4,5,8,4,"Payday Loan, Debt Consolidation Loan, Not Specified, and Personal Loan",21,19,9.75,12,Standard,581.05,31.72598972,12 Years and 2 Months,NM,92.35158352,130.0193046,HighspentSmallvaluepayments,320.5206119,Standard,,,,,,,,,,,,
July,293,Mark Shades,28,36490.98,2828.915,4,5,8,4,"Payday Loan, Debt Consolidation Loan, Not Specified, and Personal Loan",21,21,9.75,12,_,581.05,40.29464722,12 Years and 3 Months,Yes,92.35158352,178.4631323,High_spent_Small_value_payments,272.0767842,Standard,,,,,,,,,,,,
